 time            v(vin1)         v(vin2)         v(vout)        
 5.14755984e-10  3.79362498e+00  3.90538150e+00 -6.46364227e-02 
 5.15392523e-10  3.74355864e+00  3.84839839e+00 -7.52735690e-02 
 5.16224667e-10  3.67783880e+00  3.77412648e+00 -8.77580384e-02 
 5.16647788e-10  3.64426598e+00  3.73647757e+00 -9.23077767e-02 
 5.17245956e-10  3.59317060e+00  3.68297831e+00 -9.75121385e-02 
 5.17791768e-10  3.53380036e+00  3.63301522e+00 -1.02419661e-01 
 5.18370743e-10  3.47019631e+00  3.57629773e+00 -1.07777433e-01 
 5.18824230e-10  3.42322258e+00  3.51906645e+00 -1.13109145e-01 
 5.19440192e-10  3.36100899e+00  3.42241036e+00 -1.22825233e-01 
 5.20057572e-10  3.30039695e+00  3.33125308e+00 -1.31574257e-01 
 5.20662710e-10  3.24262834e+00  3.24520023e+00 -1.38207832e-01 
 5.21366006e-10  3.17722499e+00  3.14681173e+00 -1.44026615e-01 
 5.22336821e-10  3.08939924e+00  3.01206336e+00 -1.50119273e-01 
 5.23625534e-10  2.97712323e+00  2.83413609e+00 -1.56409377e-01 
 5.24712232e-10  2.88953954e+00  2.68490716e+00 -1.60606321e-01 
 5.26226621e-10  2.77986564e+00  2.47831874e+00 -1.65474416e-01 
 5.27636098e-10  2.68563238e+00  2.28768104e+00 -1.69791841e-01 
 5.29363027e-10  2.57542935e+00  2.05677659e+00 -1.75553574e-01 
 5.31401037e-10  2.44934171e+00  1.78950033e+00 -1.83397246e-01 
 5.33896851e-10  2.29836011e+00  1.47389667e+00 -1.94515563e-01 
 5.36610693e-10  2.13756299e+00  1.15335392e+00 -2.07975775e-01 
 5.39227384e-10  1.98608762e+00  8.76169005e-01 -2.21230879e-01 
 5.41596675e-10  1.85267421e+00  6.58453660e-01 -2.31857843e-01 
 5.44233868e-10  1.70974321e+00  4.56769338e-01 -2.38396193e-01 
 5.46804162e-10  1.57810265e+00  2.97872797e-01 -2.32172689e-01 
 5.48831758e-10  1.47984968e+00  1.99237914e-01 -2.19389694e-01 
 5.49975018e-10  1.42567505e+00  1.59732415e-01 -2.15020836e-01 
 5.51695798e-10  1.34605569e+00  1.16147840e-01 -2.10627312e-01 
 5.53355049e-10  1.27125812e+00  8.65277127e-02 -2.07408423e-01 
 5.55382281e-10  1.18202512e+00  6.13491245e-02 -2.04342195e-01 
 5.57548445e-10  1.08968450e+00  4.33405110e-02 -2.02615730e-01 
 5.59764286e-10  9.99022546e-01  3.10784852e-02 -2.02505412e-01 
 5.62495608e-10  8.93270462e-01  2.11492585e-02 -2.04245783e-01 
 5.65086146e-10  7.99443782e-01  1.50375540e-02 -2.07421911e-01 
 5.68454433e-10  6.87096117e-01  9.82374641e-03 -2.13140694e-01 
 5.71878832e-10  5.84083989e-01  6.43716452e-03 -2.20045980e-01 
 5.76125711e-10  4.72136698e-01  3.81163359e-03 -2.28651608e-01 
 5.79592819e-10  3.93550736e-01  2.56019914e-03 -2.34333738e-01 
 5.82621553e-10  3.33852424e-01  1.92632114e-03 -2.37494861e-01 
 5.86081940e-10  2.75252982e-01  1.50479743e-03 -2.39107761e-01 
 5.89168759e-10  2.31494585e-01  1.20461098e-03 -2.40060751e-01 
 5.92229473e-10  1.95262574e-01  8.91791771e-04 -2.41530616e-01 
 5.95621976e-10  1.61983244e-01  5.53147966e-04 -2.43926463e-01 
 5.99128145e-10  1.33871901e-01  2.45316239e-04 -2.47143549e-01 
 6.03494797e-10  1.06021232e-01 -7.36102956e-05 -2.52176768e-01 
 6.08560218e-10  8.14658338e-02 -3.82449377e-04 -2.59621022e-01 
 6.13935987e-10  6.22539682e-02 -6.12167431e-04 -2.68748938e-01 
 6.17584348e-10  5.23488909e-02 -6.63713169e-04 -2.74731815e-01 
 6.21047096e-10  4.47104758e-02 -5.99502652e-04 -2.79256552e-01 
 6.24795571e-10  3.79247028e-02 -3.98588284e-04 -2.81900918e-01 
 6.29190115e-10  3.14976725e-02 -1.33585874e-05 -2.80944579e-01 
 6.33577755e-10  2.63960505e-02  4.91208384e-04 -2.74828695e-01 
 6.39108824e-10  2.14212200e-02  1.22713615e-03 -2.58967833e-01 
 6.46108407e-10  1.68955915e-02  2.21815949e-03 -2.25312045e-01 
 6.54866280e-10  1.32669496e-02  3.34689404e-03 -1.63878592e-01 
 6.64866280e-10  1.09748509e-02  4.32966712e-03 -7.25981741e-02 
 6.74866280e-10  9.81554368e-03  5.02264171e-03  3.72446123e-02 
 6.84866280e-10  9.20196386e-03  5.47607361e-03  1.62222893e-01 
 6.94866280e-10  8.84183448e-03  5.78973053e-03  2.99353022e-01 
 7.04866280e-10  8.58321655e-03  6.00641835e-03  4.45880564e-01 
 7.12950554e-10  8.31768887e-03  6.00732982e-03  5.67187366e-01 
 7.20562823e-10  7.97314364e-03  5.83673635e-03  6.80159452e-01 
 7.28475632e-10  7.65011623e-03  5.68589106e-03  7.97021263e-01 
 7.37065535e-10  7.32104358e-03  5.52435599e-03  9.22467721e-01 
 7.45770833e-10  7.00180701e-03  5.33437733e-03  1.04714942e+00 
 7.55770833e-10  6.66253843e-03  5.08565834e-03  1.18636448e+00 
 7.65770833e-10  6.35730099e-03  4.80592108e-03  1.32023898e+00 
 7.75770833e-10  6.08089548e-03  4.48905145e-03  1.44745467e+00 
 7.85770833e-10  5.82193186e-03  4.13051951e-03  1.56652708e+00 
 7.95770833e-10  5.56506887e-03  3.73250956e-03  1.67598412e+00 
 8.05770833e-10  5.29321086e-03  3.30402241e-03  1.77455507e+00 
 8.12381913e-10  5.10848869e-03  3.02366905e-03  1.83362507e+00 
 8.17939430e-10  4.95124775e-03  2.79571956e-03  1.87954151e+00 
 8.24342212e-10  4.73884342e-03  2.51082980e-03  1.92757987e+00 
 8.31025201e-10  4.45365028e-03  2.16757068e-03  1.97121243e+00 
 8.36498416e-10  4.19897135e-03  1.89110371e-03  2.00221684e+00 
 8.40326146e-10  4.04092302e-03  1.73575468e-03  2.02197099e+00 
 8.43732146e-10  3.94965104e-03  1.65895729e-03  2.03904902e+00 
 8.47490155e-10  3.97238214e-03  1.70658598e-03  2.05914213e+00 
 8.51455377e-10  4.20346554e-03  1.95688090e-03  2.08418953e+00 
 8.56326002e-10  4.68882095e-03  2.40271927e-03  2.12117089e+00 
 8.61295779e-10  5.17901702e-03  2.74575973e-03  2.16297568e+00 
 8.66608701e-10  5.53590183e-03  2.85848468e-03  2.20827595e+00 
 8.72997731e-10  5.74872099e-03  2.75856643e-03  2.26071468e+00 
 8.81046241e-10  5.83577638e-03  2.51919228e-03  2.32253589e+00 
 8.91046241e-10  5.83851617e-03  2.23495289e-03  2.39308184e+00 
 9.01046241e-10  5.80453909e-03  2.00576523e-03  2.45743985e+00 
 9.11046241e-10  5.75935690e-03  1.82235284e-03  2.51639059e+00 
 9.21046241e-10  5.70579709e-03  1.67069417e-03  2.57065468e+00 
 9.31046241e-10  5.64124021e-03  1.54255506e-03  2.62088594e+00 
 9.41046241e-10  5.56467475e-03  1.43428683e-03  2.66768744e+00 
 9.51046241e-10  5.47776969e-03  1.34388137e-03  2.71161331e+00 
 9.61046241e-10  5.38048044e-03  1.26670205e-03  2.75307700e+00 
 9.71046241e-10  5.26208358e-03  1.18996305e-03  2.79210522e+00 
 9.81046241e-10  5.10649665e-03  1.10059323e-03  2.82834417e+00 
 9.91046241e-10  4.91658966e-03  1.00464648e-03  2.86163212e+00 
 1.00104624e-09  4.70933184e-03  9.16332681e-04  2.89218376e+00 
 1.01104624e-09  4.49657145e-03  8.40440413e-04  2.92031562e+00 
 1.02104624e-09  4.28303053e-03  7.74935556e-04  2.94630379e+00 
 1.03104624e-09  4.07060669e-03  7.16938594e-04  2.97037165e+00 
