 v-sweep         v(vin)          v(vout)        
 1.09000000e-01  1.09000000e-01  1.49989218e+00 
 1.10000000e-01  1.10000000e-01  1.49988869e+00 
 1.11000000e-01  1.11000000e-01  1.49988508e+00 
 1.12000000e-01  1.12000000e-01  1.49988136e+00 
 1.13000000e-01  1.13000000e-01  1.49987751e+00 
 1.14000000e-01  1.14000000e-01  1.49987354e+00 
 1.15000000e-01  1.15000000e-01  1.49986944e+00 
 1.16000000e-01  1.16000000e-01  1.49986521e+00 
 1.17000000e-01  1.17000000e-01  1.49986084e+00 
 1.18000000e-01  1.18000000e-01  1.49985633e+00 
 1.19000000e-01  1.19000000e-01  1.49985167e+00 
 1.20000000e-01  1.20000000e-01  1.49984687e+00 
 1.21000000e-01  1.21000000e-01  1.49984190e+00 
 1.22000000e-01  1.22000000e-01  1.49983678e+00 
 1.23000000e-01  1.23000000e-01  1.49983150e+00 
 1.24000000e-01  1.24000000e-01  1.49982604e+00 
 1.25000000e-01  1.25000000e-01  1.49982040e+00 
 1.26000000e-01  1.26000000e-01  1.49981459e+00 
 1.27000000e-01  1.27000000e-01  1.49980859e+00 
 1.28000000e-01  1.28000000e-01  1.49980239e+00 
 1.29000000e-01  1.29000000e-01  1.49979600e+00 
 1.30000000e-01  1.30000000e-01  1.49978940e+00 
 1.31000000e-01  1.31000000e-01  1.49978259e+00 
 1.32000000e-01  1.32000000e-01  1.49977556e+00 
 1.33000000e-01  1.33000000e-01  1.49976831e+00 
 1.34000000e-01  1.34000000e-01  1.49976083e+00 
 1.35000000e-01  1.35000000e-01  1.49975311e+00 
 1.36000000e-01  1.36000000e-01  1.49974514e+00 
 1.37000000e-01  1.37000000e-01  1.49973692e+00 
 1.38000000e-01  1.38000000e-01  1.49972843e+00 
 1.39000000e-01  1.39000000e-01  1.49971968e+00 
 1.40000000e-01  1.40000000e-01  1.49971065e+00 
 1.41000000e-01  1.41000000e-01  1.49970133e+00 
 1.42000000e-01  1.42000000e-01  1.49969172e+00 
 1.43000000e-01  1.43000000e-01  1.49968180e+00 
 1.44000000e-01  1.44000000e-01  1.49967158e+00 
 1.45000000e-01  1.45000000e-01  1.49966103e+00 
 1.46000000e-01  1.46000000e-01  1.49965014e+00 
 1.47000000e-01  1.47000000e-01  1.49963892e+00 
 1.48000000e-01  1.48000000e-01  1.49962734e+00 
 1.49000000e-01  1.49000000e-01  1.49961541e+00 
 1.50000000e-01  1.50000000e-01  1.49960310e+00 
 1.51000000e-01  1.51000000e-01  1.49959040e+00 
 1.52000000e-01  1.52000000e-01  1.49957731e+00 
