 time            v(vr)           v(VDD)          i(r1)          
 2.98343515e-09  3.15192902e+00  3.30000000e+00  1.48070984e-03 
 3.08343515e-09  3.18436721e+00  3.30000000e+00  1.15632795e-03 
 3.18343515e-09  3.20976566e+00  3.30000000e+00  9.02343370e-04 
 3.28343515e-09  3.22959898e+00  3.30000000e+00  7.04010244e-04 
 3.38343515e-09  3.24506176e+00  3.30000000e+00  5.49382367e-04 
 3.48343515e-09  3.25710794e+00  3.30000000e+00  4.28920593e-04 
 3.58343515e-09  3.26649153e+00  3.30000000e+00  3.35084739e-04 
 3.68343515e-09  3.27380383e+00  3.30000000e+00  2.61961699e-04 
 3.78343515e-09  3.27950593e+00  3.30000000e+00  2.04940696e-04 
 3.88343515e-09  3.28395609e+00  3.30000000e+00  1.60439099e-04 
 3.98343515e-09  3.28743222e+00  3.30000000e+00  1.25677841e-04 
 4.08343515e-09  3.29014981e+00  3.30000000e+00  9.85018998e-05 
 4.18343515e-09  3.29227607e+00  3.30000000e+00  7.72392729e-05 
 4.28343515e-09  3.29394086e+00  3.30000000e+00  6.05913965e-05 
 4.38343515e-09  3.29524515e+00  3.30000000e+00  4.75484910e-05 
 4.48343515e-09  3.29626757e+00  3.30000000e+00  3.73243240e-05 
 4.58343515e-09  3.29706940e+00  3.30000000e+00  2.93059519e-05 
 4.68343515e-09  3.29769850e+00  3.30000000e+00  2.30149664e-05 
 4.78343515e-09  3.29819224e+00  3.30000000e+00  1.80775686e-05 
 4.88343515e-09  3.29857986e+00  3.30000000e+00  1.42014195e-05 
 4.98343515e-09  3.29888423e+00  3.30000000e+00  1.11576987e-05 
 5.08343515e-09  3.29912328e+00  3.30000000e+00  8.76717901e-06 
 5.18343515e-09  3.29931106e+00  3.30000000e+00  6.88940323e-06 
 5.28343515e-09  3.29945857e+00  3.30000000e+00  5.41429870e-06 
 5.38343515e-09  3.29957443e+00  3.30000000e+00  4.25572215e-06 
 5.48343515e-09  3.29966643e+00  3.30000000e+00  3.33566508e-06 
 5.56882711e-09  3.29973599e+00  3.30000000e+00  2.64008100e-06 
 5.61348811e-09  3.29976746e+00  3.30000000e+00  2.32544610e-06 
 5.67507791e-09  3.29979851e+00  3.30000000e+00  2.01490185e-06 
 5.74120820e-09  3.29982497e+00  3.30000000e+00  1.75029247e-06 
 5.80968127e-09  3.29984842e+00  3.30000000e+00  1.51583262e-06 
 5.90968127e-09  3.29987632e+00  3.30000000e+00  1.23680112e-06 
 6.00968127e-09  3.29988108e+00  3.30000000e+00  1.18921946e-06 
 6.10968127e-09  3.29984522e+00  3.30000000e+00  1.54777059e-06 
 6.20968127e-09  3.29978408e+00  3.30000000e+00  2.15916242e-06 
 6.30968127e-09  3.29971769e+00  3.30000000e+00  2.82309289e-06 
 6.40968127e-09  3.29965307e+00  3.30000000e+00  3.46926412e-06 
 6.50968127e-09  3.29958119e+00  3.30000000e+00  4.18814632e-06 
 6.60968127e-09  3.29947698e+00  3.30000000e+00  5.23018202e-06 
 6.70968127e-09  3.29938174e+00  3.30000000e+00  6.18257623e-06 
 6.80968127e-09  3.30021402e+00  3.30000000e+00 -2.14018825e-06 
 6.90968127e-09  3.30451253e+00  3.30000000e+00 -4.51252663e-05 
 7.00968127e-09  3.31575488e+00  3.30000000e+00 -1.57548763e-04 
 7.10968127e-09  3.33915516e+00  3.30000000e+00 -3.91551639e-04 
 7.20968127e-09  3.38866726e+00  3.30000000e+00 -8.86672645e-04 
 7.29668333e-09  3.46694114e+00  3.30000000e+00 -1.66941138e-03 
 7.35929141e-09  3.53213124e+00  3.30000000e+00 -2.32131245e-03 
 7.43278224e-09  3.59896048e+00  3.30000000e+00 -2.98960484e-03 
 7.48420916e-09  3.62522052e+00  3.30000000e+00 -3.25220519e-03 
 7.52497100e-09  3.62089177e+00  3.30000000e+00 -3.20891767e-03 
 7.54890095e-09  3.61623722e+00  3.30000000e+00 -3.16237223e-03 
 7.57421114e-09  3.62307994e+00  3.30000000e+00 -3.23079940e-03 
 7.58857424e-09  3.62710149e+00  3.30000000e+00 -3.27101492e-03 
 7.60622922e-09  3.62603906e+00  3.30000000e+00 -3.26039061e-03 
 7.62236638e-09  3.61902302e+00  3.30000000e+00 -3.19023017e-03 
 7.64417304e-09  3.60325391e+00  3.30000000e+00 -3.03253910e-03 
 7.66867186e-09  3.57923846e+00  3.30000000e+00 -2.79238462e-03 
 7.69184399e-09  3.54956928e+00  3.30000000e+00 -2.49569280e-03 
 7.71524552e-09  3.50907612e+00  3.30000000e+00 -2.09076122e-03 
 7.74048850e-09  3.45851529e+00  3.30000000e+00 -1.58515290e-03 
 7.76719342e-09  3.41623130e+00  3.30000000e+00 -1.16231304e-03 
 7.79670376e-09  3.38782890e+00  3.30000000e+00 -8.78288977e-04 
 7.83502645e-09  3.37246475e+00  3.30000000e+00 -7.24647471e-04 
 7.86193745e-09  3.36645374e+00  3.30000000e+00 -6.64537449e-04 
 7.87919377e-09  3.33489851e+00  3.30000000e+00 -3.48985136e-04 
 7.89256302e-09  3.31674529e+00  3.30000000e+00 -1.67452919e-04 
 7.90597274e-09  3.30756794e+00  3.30000000e+00 -7.56794231e-05 
 7.92359290e-09  3.30244464e+00  3.30000000e+00 -2.44464209e-05 
 7.94004180e-09  3.30061213e+00  3.30000000e+00 -6.12133051e-06 
 7.96987506e-09  3.30012818e+00  3.30000000e+00 -1.28182994e-06 
