 time            v(vin1)         v(vin2)         v(vout)        
 2.15859325e-09 -1.29760580e-07  3.30000000e+00  3.30000004e+00 
 2.25859325e-09 -8.23137464e-09  3.30000000e+00  3.29999958e+00 
 2.35859325e-09  8.22758923e-09  3.30000000e+00  3.29999961e+00 
 2.45859325e-09  4.02647197e-09  3.30000000e+00  3.29999974e+00 
 2.55859325e-09  1.51698594e-09  3.30000000e+00  3.29999985e+00 
 2.65859325e-09  1.07804181e-09  3.30000000e+00  3.29999992e+00 
 2.75859325e-09  1.13619069e-09  3.30000000e+00  3.29999996e+00 
 2.85859325e-09  1.18758575e-09  3.30000000e+00  3.29999998e+00 
 2.95859325e-09  1.19903857e-09  3.30000000e+00  3.29999999e+00 
 3.05859325e-09  1.19874897e-09  3.30000000e+00  3.30000000e+00 
 3.15859325e-09  1.19784352e-09  3.30000000e+00  3.30000000e+00 
 3.25859325e-09  1.19760573e-09  3.30000000e+00  3.30000000e+00 
 3.35859325e-09  1.19760400e-09  3.30000000e+00  3.30000000e+00 
 3.45859325e-09  1.19761969e-09  3.30000000e+00  3.30000000e+00 
 3.55859325e-09  1.19762327e-09  3.30000000e+00  3.30000000e+00 
 3.65859325e-09  1.19762198e-09  3.30000000e+00  3.30000000e+00 
 3.75000000e-09  1.19762021e-09  3.30000000e+00  3.30000000e+00 
 3.75049394e-09  3.02023650e-07  3.30316939e+00  3.30002576e+00 
 3.75148181e-09  1.23703470e-06  3.31131633e+00  3.30009241e+00 
 3.75309309e-09  2.27817198e-06  3.32611826e+00  3.30016515e+00 
 3.75481946e-09  2.06925942e-06  3.34179057e+00  3.30017960e+00 
 3.75813560e-09 -9.54132108e-08  3.36792977e+00  3.30012701e+00 
 3.76223539e-09 -2.02882049e-06  3.39296066e+00  3.30004953e+00 
 3.76568650e-09 -2.05222663e-06  3.40950751e+00  3.30001204e+00 
 3.76859316e-09 -1.24425639e-06  3.42168498e+00  3.30000213e+00 
 3.77202781e-09 -2.69947855e-07  3.43337896e+00  3.29999425e+00 
 3.77494391e-09  2.02089262e-07  3.44027525e+00  3.29998288e+00 
 3.77899018e-09  4.04284720e-07  3.44487729e+00  3.29996455e+00 
 3.78344234e-09  3.81564144e-07  3.44323853e+00  3.29994653e+00 
 3.79113209e-09  2.72457989e-07  3.42418965e+00  3.29992248e+00 
 3.80122910e-09  1.39649873e-07  3.36833823e+00  3.29989769e+00 
 3.81282110e-09 -4.20662288e-08  3.25278346e+00  3.29985873e+00 
 3.81676283e-09 -2.68611651e-07  3.19536689e+00  3.29982476e+00 
 3.82150207e-09 -8.60562262e-07  3.09935701e+00  3.29973440e+00 
 3.82351542e-09 -1.52198373e-06  3.04273055e+00  3.29965080e+00 
 3.82543946e-09 -2.29718391e-06  2.97601670e+00  3.29954566e+00 
 3.82811623e-09 -2.53462977e-06  2.86656550e+00  3.29942659e+00 
 3.83016573e-09 -1.61546749e-06  2.77928551e+00  3.29941260e+00 
 3.83234195e-09 -4.45951460e-07  2.68831812e+00  3.29945562e+00 
 3.83440871e-09 -1.15226279e-07  2.60001399e+00  3.29949105e+00 
 3.83629779e-09 -4.16194459e-07  2.51534489e+00  3.29949758e+00 
 3.83825953e-09 -4.18591483e-07  2.42526930e+00  3.29950444e+00 
 3.84010562e-09  3.73897629e-07  2.33958194e+00  3.29952276e+00 
 3.84188188e-09  1.71426415e-06  2.25600934e+00  3.29954238e+00 
 3.84505258e-09  4.24856644e-06  2.10366396e+00  3.29956506e+00 
 3.84752629e-09  5.77181216e-06  1.98258517e+00  3.29957590e+00 
 3.85000000e-09  6.59060608e-06  1.86041955e+00  3.29958549e+00 
 3.85047986e-09  6.25366411e-06  1.83293342e+00  3.29955461e+00 
 3.85143957e-09  5.19661383e-06  1.77831024e+00  3.29949023e+00 
 3.85287363e-09  4.20879563e-06  1.69988721e+00  3.29946334e+00 
 3.85448913e-09  4.35624295e-06  1.61547959e+00  3.29950410e+00 
 3.85685460e-09  5.21821253e-06  1.49778168e+00  3.29959026e+00 
 3.86022888e-09  4.52843321e-06  1.34060311e+00  3.29967963e+00 
 3.86323444e-09  1.59841740e-06  1.21067320e+00  3.29972372e+00 
 3.86654539e-09 -2.66961717e-06  1.07778830e+00  3.29975206e+00 
 3.87020049e-09 -6.40978322e-06  9.42512736e-01  3.29977750e+00 
 3.87419297e-09 -7.92269672e-06  8.07331208e-01  3.29981421e+00 
 3.87927258e-09 -6.38051719e-06  6.52718465e-01  3.29990608e+00 
 3.88254648e-09 -3.71579028e-06  5.60622650e-01  3.30005615e+00 
 3.88732026e-09  4.03327645e-08  4.38706641e-01  3.30036659e+00 
 3.88953622e-09  2.14521910e-09  3.91881779e-01  3.30037739e+00 
 3.89261607e-09 -5.49386369e-07  3.34875686e-01  3.30033893e+00 
 3.89612801e-09 -5.45509259e-07  2.79491124e-01  3.30029736e+00 
